"speciesname","sub_unit","speciescode","euringcode","codeeco","typeasso","season","region"
"Phylloscopus borealis","","A605",12950,"woodlandForest","P","B","EU27"
"Phylloscopus canariensis","","A613",13117,"woodlandForest","P","B","EU27"
"Phylloscopus collybita","","A315",13110,"heathlandShrub","P","B","EU27"
"Phylloscopus collybita","","A315",13110,"heathlandShrub","P","W","EU27"
"Phylloscopus ibericus","","A618",13115,"woodlandForest","P","B","EU27"
"Phylloscopus sibilatrix","","A314",13080,"woodlandForest","P","B","EU27"
"Phylloscopus trochiloides","","A312",12930,"woodlandForest","P","B","EU27"
"Phylloscopus trochilus","","A316",13120,"heathlandShrub","P","B","EU27"
"Pica pica","","A343",15490,"urban","P","B","EU27"
"Picoides tridactylus","","A241",8980,"woodlandForest","P","B","EU27"
"Picus canus","","A234",8550,"woodlandForest","P","B","EU27"
"Picus viridis","","A235",8560,"grassland","P","B","EU27"
"Pinicola enucleator","","A545",16990,"woodlandForest","P","B","EU27"
"Platalea leucorodia leucorodia","West Europe/West Mediterranean & West Africa","A607-A",1440,"riversLakes","P","B","EU27"
"Platalea leucorodia leucorodia","Cent. & SE Europe/Mediterranean & Tropical Africa","A607-B",1440,"riversLakes","P","B","EU27"
"Platalea leucorodia leucorodia","West Europe/West Mediterranean & West Africa","A607-A",1440,"riversLakes","P","W","EU27"
"Platalea leucorodia leucorodia","Cent. & SE Europe/Mediterranean & Tropical Africa","A607-B",1440,"riversLakes","P","W","EU27"
"Plectrophenax nivalis","","A375",18500,"sparselyVegetated","P","B","EU27"
"Plegadis falcinellus falcinellus","Black Sea & Mediterranean/West Africa","A700",1360,"riversLakes","P","B","EU27"
"Pluvialis apricaria","","A140",4851,"heathlandShrub","P","B","EU27"
"Pluvialis apricaria","","A140",4851,"cropland","P","W","EU27"
"Pluvialis squatarola","W Siberia & Canada/W Europe & W Africa","A141",4860,"sparselyVegetated","P","W","EU27"
"Podiceps auritus auritus","North-west Europe (large-billed)","A642-A",110,"riversLakes","P","B","EU27"
"Podiceps auritus auritus","North-west Europe (large-billed)","A642-A",110,"coastal","P","W","EU27"
"Podiceps auritus auritus","North-east Europe (small-billed)","A642-B",110,"marineInlets","P","W","EU27"
"Podiceps auritus auritus","North-east Europe (small-billed)","A642-B",110,"marineInlets","P","B","EU27"
"Podiceps cristatus cristatus","","A691",90,"riversLakes","P","B","EU27"
"Podiceps cristatus cristatus","","A691",90,"coastal","P","W","EU27"
"Podiceps grisegena grisegena","North-west Europe (win)","A665-A",100,"riversLakes","P","B","EU27"
"Podiceps grisegena grisegena","North-west Europe (win)","A665-A",100,"coastal","P","W","EU27"
"Podiceps grisegena grisegena","Black Sea & Mediterranean (win)","A665-B",100,"riversLakes","P","B","EU27"
"Podiceps grisegena grisegena","Black Sea & Mediterranean (win)","A665-B",100,"coastal","P","W","EU27"
"Podiceps nigricollis nigricollis","Europe/South & West Europe & North Africa","A692",120,"riversLakes","P","B","EU27"
"Podiceps nigricollis nigricollis","Europe/South & West Europe & North Africa","A692",120,"coastal","P","W","EU27"
"Polysticta stelleri","Western Siberia/North-east Europe","A506",2090,"coastal","P","W","EU27"
"Porphyrio porphyrio poliocephalus","","A759-X",,"wetlands","P","B","EU27"
"Porphyrio porphyrio porphyrio","","A722",4270,"riversLakes","P","B","EU27"
"Porzana parva parva","Western Eurasia/Africa","A719",4100,"riversLakes","P","B","EU27"
"Porzana porzana","Europe/Africa","A119",4080,"riversLakes","P","B","EU27"
"Porzana pusilla intermedia","Europe (bre)","A720",4110,"riversLakes","P","B","EU27"
"Prunella collaris","","A267",10940,"sparselyVegetated","P","B","EU27"
"Prunella collaris","","A267",10940,"sparselyVegetated","P","W","EU27"
"Prunella modularis","","A266",10840,"woodlandForest","P","B","EU27"
"Prunella modularis","","A266",10840,"woodlandForest","P","W","EU27"
"Psittacula krameri","","A760-X",7120,"urban","P","B","EU27"
"Pterocles alchata","","A205",6620,"grassland","P","B","EU27"
"Pterocles orientalis","","A420",6610,"grassland","P","B","EU27"
"Pterodroma feae","","A386",262,"sparselyVegetated","P","B","EU27"
"Pterodroma madeira","","A385",263,"sparselyVegetated","P","B","EU27"
"Puffinus assimilis baroli","","A504",482,"sparselyVegetated","P","B","EU27"
"Puffinus mauretanicus","","A693",463,"sparselyVegetated","P","B","EU27"
"Puffinus mauretanicus","","A693",463,"ocean","P","W","EU27"
"Puffinus puffinus","","A013",460,"sparselyVegetated","P","B","EU27"
"Puffinus yelkouan","","A464",462,"sparselyVegetated","P","B","EU27"
"Pyrrhocorax graculus","","A345",15580,"sparselyVegetated","P","B","EU27"
"Pyrrhocorax pyrrhocorax","","A346",15590,"sparselyVegetated","P","B","EU27"
"Pyrrhocorax pyrrhocorax","","A346",15590,"sparselyVegetated","P","W","EU27"
"Pyrrhula murina","","A453",17105,"woodlandForest","P","B","EU27"
"Pyrrhula pyrrhula","","A372",17100,"woodlandForest","P","B","EU27"
"Rallus aquaticus aquaticus","Europe & North Africa","A718",4070,"riversLakes","P","B","EU27"
